,ClientMacAddr,Trust,Standardized_Trust
0,00:00:00:00:00:00,0.030291344620572213,-0.525303573317714
1,00:06:c6:5a:a2:51,0.05262192012863557,-0.11611198004802559
2,00:08:22:00:b9:fb,0.039065331285867255,-0.36452663402196334
3,00:08:22:0a:b9:fb,0.045319609761185854,-0.24992151902419568
4,00:08:22:0c:bc:fb,0.0384617252495144,-0.3755872766656445
5,00:08:22:12:c5:fb,0.09149295762384477,0.5961715774880108
6,00:08:22:1c:bb:fb,0.049185594,-0.1790801629801186
7,00:08:22:20:bc:fb,0.03911284221405808,-0.36365603073647684
8,00:08:22:24:bd:fb,0.038388550240878526,-0.37692815560360216
9,00:08:22:26:bb:fb,0.040726304988370154,-0.3340904961149579
10,00:08:22:2a:bc:fb,0.0412003287534128,-0.3254043545690109
11,00:08:22:2e:17:fc,0.021588974,-0.6847682005580398
12,00:08:22:2e:bd:fb,0.04628284865634954,-0.2322708651899925
13,00:08:22:38:bd:fb,0.03862288852178817,-0.3726340766402153
14,00:08:22:3e:b7:fb,0.049185594,-0.1790801629801186
15,00:08:22:42:b8:fb,0.04764095598680889,-0.20738453379288013
16,00:08:22:44:bb:fb,0.04084005791524306,-0.33200605626837143
17,00:08:22:4c:f9:cd,0.045157101263714694,-0.2528993693252807
18,00:08:22:4e:bb:fb,0.0396499990684229,-0.35381302113764646
19,00:08:22:54:ba:fb,0.04803825159950301,-0.200104379965288
20,00:08:22:5a:b9:fb,0.04655366653004013,-0.2273083241582422
21,00:08:22:5a:c3:fb,0.03411829,-0.4551775760455578
22,00:08:22:62:bb:fb,0.038669102594193434,-0.3717872372960093
23,00:08:22:64:b9:fb,0.0460650618485321,-0.23626165041860234
24,00:08:22:78:b9:fb,0.03607056873175238,-0.41940348484652795
25,00:08:22:7c:ba:fb,0.0382620929231497,-0.3792453941944027
26,00:08:22:80:bb:fb,0.04123480096145448,-0.3247726763694496
27,00:08:22:96:b9:fb,0.036339304630184484,-0.4144790945007221
28,00:08:22:9e:65:fc,0.03977399331364958,-0.35154091656325887
29,00:08:22:a0:b9:fb,0.03274630716547137,-0.48031816598676724
30,00:08:22:a2:bc:fb,0.041139344449617025,-0.3265218476862673
31,00:08:22:a4:ba:fb,0.03688787949837158,-0.40442685808343265
32,00:08:22:ac:bc:fb,0.04585344713005571,-0.24013933658846418
33,00:08:22:b0:bd:fb,0.04769717406707616,-0.2063543782634438
34,00:08:22:b2:bb:fb,0.044218035846953746,-0.27010706170786725
35,00:08:22:b6:bc:fb,0.034810305495490704,-0.4424968942124853
36,00:08:22:b8:ba:fb,0.04486523900166896,-0.25824753350397217
37,00:08:22:c0:bc:fb,0.04284018885806069,-0.2953551080228136
38,00:08:22:c2:ba:fb,0.052450364774044404,-0.11925560744149591
39,00:08:22:c6:bb:fb,0.04294545618701962,-0.293426160600908
40,00:08:22:d4:bc:fb,0.0425833888711326,-0.3000607814509255
41,00:08:22:d8:c2:fb,0.03945127999999999,-0.3574544038772752
42,00:08:22:da:bb:fb,0.04368670701519572,-0.2798432770212022
43,00:08:22:dc:b9:fb,0.04684938740826915,-0.22188945363777807
44,00:08:22:e0:ba:fb,0.04274256109055091,-0.2971440660243781
45,00:08:22:e4:bb:fb,0.04854432815310533,-0.1908308943262729
46,00:08:22:f4:ba:fb,0.047686887270272336,-0.2065428763508432
47,00:08:22:f8:bb:fb,0.03726149517743654,-0.39758062185759396
48,00:08:22:fe:ba:fb,0.040837750727853,-0.33204833380321463
49,00:0b:82:d0:ff:35,0.02475770646564976,-0.6267034773359975
50,00:0c:e7:00:f8:e6,0.035660359,-0.4269202805354646
51,00:0c:e7:01:7e:f7,0.037587946,-0.39159864740464245
52,00:0c:e7:02:67:0d,0.028399782,-0.5599650858345698
53,00:0c:e7:02:74:e6,0.010202666919521666,-0.8934140159798805
54,00:0c:e7:02:8b:64,0.03774397305415069,-0.3887395648495133
55,00:0c:e7:04:47:90,0.045330421,-0.24972341091748868
56,00:0c:e7:04:59:4f,0.04198461495943178,-0.3110328789165153
57,00:0c:e7:04:80:6d,0.016866386,-0.7713061989799133
58,00:0c:e7:04:90:95,0.023298349384374438,-0.6534451369506735
59,00:0c:e7:05:ad:5f,0.031038785597451688,-0.5116072597545491
60,00:0c:e7:06:33:f9,0.036624153,-0.40925945480791637
61,00:0c:e7:06:c9:19,0.010873735036729495,-0.8811171796545646
62,00:0c:e7:07:59:e6,0.032319208,-0.48814444829374476
63,00:0c:e7:08:6e:1c,0.035660359,-0.4269202805354646
64,00:0c:e7:08:ae:ab,0.05230186,-0.12197684967179324
65,00:0c:e7:09:09:2f,0.0381419864284013,-0.3814462585622013
66,00:0c:e7:09:a4:a0,0.034985704,-0.439282843885329
67,00:0c:e7:09:cd:29,0.025669033000000004,-0.6100040798464403
68,00:0c:e7:0e:01:ff,0.03256807784108082,-0.4835840890342236
69,00:0c:e7:0e:c4:59,0.044939150972335314,-0.2568931502715406
70,00:0c:e7:0f:71:ac,0.03503242528184612,-0.43842671029614705
71,00:0c:e7:0f:7c:cb,0.038166222,-0.38100215929782316
72,00:0c:e7:11:2a:57,0.05230186,-0.12197684967179324
73,00:0c:e7:11:bf:cb,0.031387541,-0.5052165700574286
74,00:0c:e7:12:8d:bb,0.02758955979785829,-0.5748118197970298
75,00:0c:e7:12:bf:1a,0.04152430658628807,-0.31946769585771057
76,00:0c:e7:13:39:d2,0.03305003034792983,-0.4747526590477167
77,00:0c:e7:13:61:ea,0.006521669,-0.9608656319477534
78,00:0c:e7:13:ae:e7,0.026215183,-0.5999962773792114
79,00:0c:e7:13:cb:21,0.030455874,-0.5222886918211123
80,00:0c:e7:13:cf:65,0.036624153,-0.40925945480791637
81,00:0c:e7:15:47:f0,0.038326854,-0.37805869445132323
82,00:0c:e7:17:33:cb,0.020207537,-0.710082031221633
83,00:0c:e7:19:1f:fd,0.036977544,-0.4027838211510518
84,00:0c:e7:19:20:f5,0.03598662500530192,-0.4209416927247286
85,00:0c:e7:19:8d:3d,0.037950404807614094,-0.38495685275278996
86,00:0c:e7:19:b0:22,0.02763724457002774,-0.573938030946775
87,00:0c:e7:19:bb:48,0.041603752,-0.31801191629649794
88,00:0c:e7:1b:86:d5,0.045408727646714324,-0.24828849843522552
89,00:0c:e7:1b:95:05,0.044944903,-0.2567877485382178
90,00:0c:e7:1c:8c:cd,0.05230186,-0.12197684967179324
91,00:0c:e7:1d:69:b3,0.03390746680986316,-0.459040758032925
92,00:0c:e7:1d:b3:b3,0.041378867,-0.32213277074645275
93,00:0c:e7:1e:95:c7,0.05230186,-0.12197684967179324
94,00:0c:e7:20:1d:2e,0.02171748,-0.6824134213511301
95,00:0c:e7:20:9e:6a,0.041378867,-0.32213277074645275
96,00:0c:e7:21:75:e7,0.071288592,0.22594123758301976
97,00:0c:e7:22:4d:5c,0.02814277,-0.5646746442483892
98,00:0c:e7:22:da:4c,0.0367761234326345,-0.40647470689861415
99,00:0c:e7:24:92:ba,0.041378867,-0.32213277074645275
100,00:0c:e7:24:9c:29,0.03903429485410155,-0.3650953541142435
101,00:0c:e7:25:2c:2f,0.00154207,-1.0521131704591717
102,00:0c:e7:25:3e:3d,0.027339609,-0.5793919868051631
103,00:0c:e7:25:53:55,0.06261445,0.06699387933218245
104,00:0c:e7:25:db:4e,0.03456806,-0.44693586714564837
105,00:0c:e7:27:ab:81,0.030539408286028913,-0.5207579866415492
106,00:0c:e7:28:36:4f,0.03234201632325395,-0.48772650231968223
107,00:0c:e7:28:a1:b4,0.018134687132558645,-0.7480655009965574
108,00:0c:e7:29:13:4b,0.027567376012684285,-0.5752183215639378
109,00:0c:e7:2b:83:21,0.034985704,-0.439282843885329
110,00:0c:e7:2c:73:b8,0.03168863327824811,-0.4996992725290662
111,00:0c:e7:2c:b6:55,0.01873412783970989,-0.7370811849881609
112,00:0c:e7:2c:cb:0a,0.031238853370310776,-0.5079411629847383
113,00:0c:e7:2c:ff:2a,0.01861127159298577,-0.7393324365657131
114,00:0c:e7:2d:25:f4,0.022038744,-0.6765264916581303
115,00:0c:e7:2d:bb:fe,0.025765413,-0.608237986279121
116,00:0c:e7:2e:89:1b,0.03515537111060895,-0.4361738171927356
117,00:0c:e7:2e:d6:2c,0.02913869,-0.5464251328812506
118,00:0c:e7:2f:12:62,0.05291260810111093,-0.11078533387365458
119,00:0c:e7:30:ee:01,0.07612032093484927,0.314479164444077
120,00:0c:e7:30:f9:29,0.02944773130551815,-0.5407621751959257
121,00:0c:e7:31:d4:8a,0.06261445,0.06699387933218245
122,00:0c:e7:32:21:94,0.049828123,-0.16730628526984448
123,00:0c:e7:32:81:0b,0.049185594,-0.1790801629801186
124,00:0c:e7:32:ae:f6,0.036720532,-0.40749337956487125
125,00:0c:e7:33:11:88,0.041603752,-0.31801191629649794
126,00:0c:e7:34:2e:1a,0.075304398,0.29952796869116416
127,00:0c:e7:34:af:b9,0.038198349,-0.38041345533395854
128,00:0c:e7:35:51:19,0.034407428,-0.4498793319921483
129,00:0c:e7:35:78:f7,0.041603752,-0.31801191629649794
130,00:0c:e7:36:1d:d6,0.06261445,0.06699387933218245
131,00:0c:e7:36:6c:f8,0.052301860000000006,-0.12197684967179312
132,00:0c:e7:36:af:63,0.061778154896912886,0.051669378378219645
133,00:0c:e7:39:97:c2,0.046454846,-0.22911913866771486
134,00:0c:e7:3a:26:77,0.06261445,0.06699387933218245
135,00:0c:e7:3b:56:ed,0.043627718999999995,-0.2809241895983563
136,00:0c:e7:3b:8d:5b,0.018824947063665227,-0.7354169886069981
137,00:0c:e7:3b:f0:4a,0.02171748,-0.6824134213511301
138,00:0c:e7:3c:70:c5,0.026407942,-0.5964641085688468
139,00:0c:e7:3c:8c:1e,0.04636650570248649,-0.23073791052052356
140,00:0c:e7:3c:f2:79,0.040751180032645815,-0.33363467897777144
141,00:0c:e7:3d:27:15,0.072927041,0.2559646266604324
142,00:0c:e7:3d:4b:00,0.02393413604570173,-0.6417948077043812
